especie_veiculo,pavimento,num_vitimas
AUTOMOVEL,NAO INFORMADO,5830
,CALCAMENTO,7
ONIBUS,NAO INFORMADO,932
,ASFALTO,736
BONDE,NAO INFORMADO,5
BICICLETA,ASFALTO,218
CARROCA,NAO INFORMADO,5
MOTOCICLETA,ASFALTO,5063
AUTOMOVEL,ASFALTO,6483
ESPECIAL,NAO INFORMADO,2
MICROONIBUS,ASFALTO,74
CAMINHONETE,ASFALTO,367
AUTOMOVEL,TERRA,2
CARROCA,ASFALTO,4
CHARRETE,NAO INFORMADO,1
CAMINHONETE,CONCRETO,5
KOMBI,NAO INFORMADO,13
KOMBI,ASFALTO,14
BICICLETA,CONCRETO,2
NAO INFORMADO,NAO INFORMADO,75
CAMIONETA,ASFALTO,131
CICLOMOTOR,ASFALTO,2
CARRO DE MAO,NAO INFORMADO,6
CAMINHAO,CALCAMENTO,1
MOTOCICLETA,CALCAMENTO,28
TRATOR DE RODAS,ASFALTO,2
CAMINHAO,CONCRETO,2
,CONCRETO,10
BICICLETA,CALCAMENTO,2
CAMINHAO,ASFALTO,232
CAMINHAO,NAO INFORMADO,137
CAMINHONETE,NAO INFORMADO,243
CAMINHAO-TRATOR,ASFALTO,50
CAMINHAO-TRATOR,NAO INFORMADO,5
TRICICLO,NAO INFORMADO,6
BICICLETA,TERRA,2
MOTOCICLETA,NAO INFORMADO,5807
MOTONETA,ASFALTO,71
REBOQUE E SEMI-REBOQUE,ASFALTO,9
TRICICLO,ASFALTO,1
ESPECIAL,ASFALTO,3
MOTOCICLETA,CONCRETO,75
TRACAO,ASFALTO,1
REBOQUE E SEMI-REBOQUE,NAO INFORMADO,3
ONIBUS,CALCAMENTO,3
BICICLETA,NAO INFORMADO,252
NAO INFORMADO,ASFALTO,64
PATINETE,ASFALTO,8
CAMIONETA,NAO INFORMADO,93
AUTOMOVEL,CALCAMENTO,46
CAMINHONETE,CALCAMENTO,2
MOTONETA,CONCRETO,3
CICLOMOTOR,NAO INFORMADO,3
CAMIONETA,CONCRETO,1
AUTOMOVEL,CONCRETO,48
MOTONETA,NAO INFORMADO,74
ONIBUS,CONCRETO,43
MICROONIBUS,NAO INFORMADO,51
ONIBUS,ASFALTO,587
,NAO INFORMADO,1008
CARRO DE MAO,ASFALTO,6
PATINETE,NAO INFORMADO,10
,TERRA,1
TRACAO,NAO INFORMADO,1
TAXI,NAO INFORMADO,1
